tag,description,priority,ewh_cited,ewh_total,ewh_rate_pct,national_rate_pct,six_state_avg_pct,diff_vs_national_pp,diff_vs_6state_pp
F0605,Prevent the use of unnecessary psychotropic medications or use medications that may restrain a resident's ability to function.,PRIORITY,18,564,3.19,4.81,3.16,-1.61,0.03
F0755,Provide pharmaceutical services to meet the needs of each resident and employ or obtain the services of a licensed pharmacist.,LOWER,179,564,31.74,37.61,32.47,-5.87,-0.73
F0756,"Ensure a licensed pharmacist perform a monthly drug regimen review, including the medical chart, following irregularity reporting guidelines in developed policies and procedures.",LOWER,97,564,17.2,22.34,22.79,-5.14,-5.59
F0757,Ensure each resident’s drug regimen must be free from unnecessary drugs.,PRIORITY,111,564,19.68,19.1,22.29,0.58,-2.61
F0759,Ensure medication error rates are not 5 percent or greater.,LOWER,115,564,20.39,25.91,22.87,-5.52,-2.48
F0760,Ensure that residents are free from significant medication errors.,LOWER,134,564,23.76,24.51,29.08,-0.76,-5.32
F0841,Designate a physician to serve as medical director responsible for implementation of resident care policies and coordination of medical care in the facility.,PRIORITY,3,564,0.53,0.7,0.54,-0.17,-0.01
F0865,Have a  plan that describes the process for conducting QAPI and QAA activities.,PRIORITY,19,564,3.37,4.67,2.28,-1.3,1.09
F0867,Set up an ongoing quality assessment and assurance group to review quality deficiencies  and develop corrective plans of action.,PRIORITY,118,564,20.92,10.44,13.58,10.49,7.35
F0880,Provide and implement an infection prevention and control program.,PRIORITY,386,564,68.44,79.82,72.0,-11.38,-3.56
