Punchlist,Facility,City,State,Field,Old,New,Evidence
CASA-CVA-01,CROWN POINT CHRISTIAN VILLAGE,Crown Point,IN,Corporate_Name,CASA CONSULTING,CHRISTIAN HORIZONS,christianhorizonsliving.org confirms operator. Separate 70-acre gated CCRC. ProPublica a-695 does not include this facility.
IHC-KY-01,BREATHITT HEALTH & REHABILITATION,JACKSON,KY,Corporate_Name,INFINITY HEALTHCARE CONSULTING,LYON HEALTHCARE,ProPublica h-185112 chain=Lyon Healthcare. Ownership refused disclosure.
IHC-KY-02,EASTWAY HEALTH & REHABILITATION,LOUISVILLE,KY,Corporate_Name,INFINITY HEALTHCARE CONSULTING,LYON HEALTHCARE,ProPublica h-185122 chain=Lyon Healthcare. Owner=A&M Healthcare Investments LLC (100% Sep 2017). Joseph Meisels 23% indirect.
IHC-KY-03,HENSON PARK HEALTH & REHABILITATION,DANVILLE,KY,Corporate_Name,INFINITY HEALTHCARE CONSULTING,LYON HEALTHCARE,ProPublica h-185264 chain=Lyon Healthcare. Owner=Ky 10 Snf Ops Holdings LLC (100% Jan 2025). Shimon Idels managerial control.
IHC-KY-04,LAKE BARKLEY HEALTH & REHABILITATION,KUTTAWA,KY,Corporate_Name,INFINITY HEALTHCARE CONSULTING,LYON HEALTHCARE,ProPublica h-185318 chain=Lyon Healthcare. Owner=Ky 10 Snf Ops Holdings LLC. Shimon Idels managerial control.
IHC-KY-05,LANDMARK OF LANCASTER REHABILITATION AND NURSING C,LANCASTER,KY,Corporate_Name,INFINITY HEALTHCARE CONSULTING,LYON HEALTHCARE,ProPublica h-185065 chain=Lyon Healthcare. Owner=A&M Healthcare Investments LLC (100% May 2017). Joseph Meisels managing employee.
IHC-KY-06,MAPLEWOOD HEALTH & REHABILITATION,Lancaster,KY,Corporate_Name,INFINITY HEALTHCARE CONSULTING,LYON HEALTHCARE,Campus pair with Landmark of Lancaster SNF. Same address 308 W Maple Ave. Same ownership (A&M Healthcare/Meisels).
IHC-KY-07,PARKWOOD HEALTH & REHABILITATION,LOUISVILLE,KY,Corporate_Name,INFINITY HEALTHCARE CONSULTING,LYON HEALTHCARE,ProPublica h-185096 chain=Lyon Healthcare. Owner=Ky 10 Snf Ops Holdings LLC (100% Jan 2025).
IHC-OK-01,MIDWEST CITY POST ACUTE & REHAB,MIDWEST CITY,OK,Corporate_Name,INFINITY HEALTHCARE CONSULTING,LYON HEALTHCARE,ProPublica h-375252 owner=A&M Healthcare Investments LLC (Meisels family). Same ownership group as KY Lyon facilities. Joseph Meisels managing employee since Nov 2017.
IHC-TN-DUP,THE WATERS OF GALLATIN,Gallatin,TN,DELETE ROW,Beds=155,,Duplicate of row with 124 beds at same address 555 E Bledsoe St. Both CMS source. 124 matches CMS certified count. 155 is inflated. Neither served. Survivor rule Step 6: keep more accurate bed count.
